,Base,Target,Look Back,Reg,%,Time,Results
0,Publico,Agricultura,1,48,0.749559856749,335.230307102,"[[ 0.55130599]
 [ 0.8688197 ]
 [ 0.92858718]
 [ 0.93679654]
 [ 0.93458373]
 [ 0.        ]
 [ 0.        ]
 [ 0.92399721]
 [ 0.92789181]
 [ 0.63656361]
 [ 0.        ]
 [ 0.89861757]
 [ 0.82808145]
 [ 0.96069699]
 [ 0.93538604]
 [ 0.91888336]
 [ 0.        ]
 [ 0.98123703]
 [ 0.96159783]
 [ 0.98073319]
 [ 0.14609345]
 [ 0.7757607 ]
 [ 0.        ]
 [ 0.73645127]
 [ 0.85866953]
 [ 0.86924338]
 [ 0.98588364]
 [ 0.89793299]
 [ 0.83962386]
 [ 0.37501247]
 [ 0.93193509]
 [ 0.99201882]
 [ 0.94715379]
 [ 0.75977807]
 [ 0.85374715]
 [ 0.84468615]
 [ 0.81586263]
 [ 0.90821983]
 [ 0.96221945]
 [ 0.95441462]
 [ 0.62598617]
 [ 0.9275788 ]
 [ 0.90101504]
 [ 0.89756755]]"
1,Publico,Agricultura,2,48,0.742432795124,398.892056942,"[[ 0.72392231]
 [ 0.82389271]
 [ 0.285632  ]
 [ 0.91129925]
 [ 0.99243534]
 [ 0.        ]
 [ 0.        ]
 [ 0.33124385]
 [ 0.02188659]
 [ 0.54767725]
 [ 0.99354106]
 [ 0.94775559]
 [ 0.83668175]
 [ 0.94666783]
 [ 0.89606112]
 [ 0.88766605]
 [ 0.        ]
 [ 0.93791258]
 [ 0.9126359 ]
 [ 0.74567462]
 [ 0.        ]
 [ 0.83328831]
 [ 0.82898026]
 [ 0.63506696]
 [ 0.94616503]
 [ 0.92014584]
 [ 0.97789169]
 [ 0.98591278]
 [ 0.6942631 ]
 [ 0.77260913]
 [ 0.81661777]
 [ 0.88634381]
 [ 0.98684107]
 [ 0.96008712]
 [ 0.90623206]
 [ 0.86686501]
 [ 0.79458444]
 [ 0.9168437 ]
 [ 0.89767975]
 [ 0.87434033]
 [ 0.849818  ]
 [ 0.90660375]
 [ 0.70808665]
 [ 0.95919064]]"
2,Publico,Agricultura,3,48,0.733766729253,477.702076912,"[[ 0.77773975]
 [ 0.58749558]
 [ 0.2714663 ]
 [ 0.94305233]
 [ 0.89203208]
 [ 0.        ]
 [ 0.        ]
 [ 0.62350308]
 [ 0.        ]
 [ 0.80617699]
 [ 0.54870233]
 [ 0.79191472]
 [ 0.79469553]
 [ 0.9675632 ]
 [ 0.94144829]
 [ 0.97238943]
 [ 0.        ]
 [ 0.90971918]
 [ 0.9637324 ]
 [ 0.91072707]
 [ 0.        ]
 [ 0.93387535]
 [ 0.57752886]
 [ 0.8206785 ]
 [ 0.92462019]
 [ 0.85954039]
 [ 0.77702005]
 [ 0.46708077]
 [ 0.91345145]
 [ 0.80636833]
 [ 0.83901463]
 [ 0.99666517]
 [ 0.95613882]
 [ 0.97667075]
 [ 0.94570551]
 [ 0.84229011]
 [ 0.74274373]
 [ 0.92110549]
 [ 0.96410958]
 [ 0.91370243]
 [ 0.90129314]
 [ 0.9603185 ]
 [ 0.55320735]
 [ 0.99024872]]"
