,Estimator,Search,Time,Preprocessing
170,DTR,original,0.0061399936676,imput
171,SVR,original,0.00329518318176,imput
172,RFR,original,0.294502973557,imput
173,DTR,original,0.0147080421448,imput
174,SVR,original,0.0100979804993,imput
175,RFR,original,0.296206951141,imput
176,DTR,original,0.00576400756836,imput
177,DTR,original,0.00490808486938,imput
178,SVR,original,0.00380611419678,imput
179,RFR,original,0.295078992844,imput
180,DTR,original,0.00508594512939,imput
181,DTR,original,0.00509786605835,imput
182,DTR,original,0.00391006469727,imput
183,DTR,original,0.00659489631653,imput
184,SVR,original,0.00306296348572,imput
185,RFR,original,0.298339128494,imput
186,DTR,original,0.00629496574402,imput
187,SVR,original,0.00543522834778,imput
188,RFR,original,0.317294120789,imput
189,DTR,original,0.00655484199524,imput
190,DTR,original,0.0038149356842,imput
191,SVR,original,0.00473594665527,imput
192,RFR,original,0.293183088303,imput
193,DTR,original,0.0077440738678,imput
194,SVR,original,0.00507879257202,imput
195,RFR,original,0.276077032089,imput
196,DTR,original,0.00530695915222,imput
197,DTR,original,0.00492811203003,imput
198,DTR,original,0.00610303878784,imput
199,DTR,original,0.0065929889679,imput
200,DTR,original,0.00349593162537,imput
201,SVR,original,0.0014021396637,imput
202,RFR,original,0.284978866577,imput
203,DTR,original,0.00244188308716,imput
204,SVR,original,0.00124502182007,imput
205,RFR,original,0.296891927719,imput
206,DTR,original,0.00172114372253,imput
207,SVR,original,0.000730037689209,imput
208,RFR,original,0.299683094025,imput
209,DTR,original,0.00705480575562,imput
210,DTR,original,0.00881218910217,imput
211,SVR,original,0.00501799583435,imput
212,RFR,original,0.310672044754,imput
213,DTR,original,0.000298976898193,imput
214,SVR,original,0.000334978103638,imput
215,RFR,original,0.302402973175,imput
216,DTR,original,0.000302076339722,imput
217,SVR,original,0.00033712387085,imput
218,RFR,original,0.290403842926,imput
219,DTR,original,0.00208187103271,imput
220,SVR,original,0.000735998153687,imput
221,RFR,original,0.29310297966,imput
222,DTR,original,0.00162887573242,imput
223,SVR,original,0.000664949417114,imput
224,RFR,original,0.287875175476,imput
225,DTR,original,0.00186109542847,imput
226,SVR,original,0.000735998153687,imput
227,RFR,original,0.294238090515,imput
228,DTR,original,0.00161695480347,imput
229,SVR,original,0.000787019729614,imput
230,RFR,original,0.292266130447,imput
231,DTR,original,0.00735807418823,imput
232,SVR,original,0.00487494468689,imput
233,RFR,original,0.25741314888,imput
234,DTR,original,0.0064959526062,imput
235,SVR,original,0.0043420791626,imput
236,RFR,original,0.262988090515,imput
237,DTR,original,0.00918507575989,imput
238,SVR,original,0.0031099319458,imput
239,RFR,original,0.270502090454,imput
240,DTR,original,0.00901293754578,imput
241,DTR,original,0.00955605506897,imput
242,SVR,original,0.00391697883606,imput
243,RFR,original,0.279470920563,imput
244,DTR,original,0.000453948974609,imput
245,SVR,original,0.000367164611816,imput
246,RFR,original,0.28926897049,imput
247,DTR,original,0.00861310958862,imput
248,DTR,original,0.00968098640442,imput
249,SVR,original,0.0104188919067,imput
250,RFR,original,0.272855043411,imput
251,DTR,original,0.00936102867126,imput
252,SVR,original,0.00463914871216,imput
253,RFR,original,0.306700944901,imput
254,DTR,original,0.00133609771729,imput
255,SVR,original,0.000581026077271,imput
256,RFR,original,0.294257879257,imput
257,DTR,original,0.00781893730164,imput
258,DTR,original,0.00820398330688,imput
259,SVR,original,0.00373411178589,imput
260,RFR,original,0.317075967789,imput
261,DTR,original,0.0103487968445,imput
262,SVR,original,0.00589394569397,imput
263,RFR,original,0.28394818306,imput
264,DTR,original,0.00513100624084,imput
265,SVR,original,0.00233793258667,imput
266,RFR,original,0.261375904083,imput
267,DTR,original,0.00424885749817,imput
268,DTR,original,0.004065990448,imput
269,SVR,original,0.00187492370605,imput
270,RFR,original,0.299407958984,imput
271,DTR,original,0.00208592414856,imput
272,DTR,original,0.00728106498718,imput
273,SVR,original,0.00460314750671,imput
274,RFR,original,0.292842149734,imput
275,DTR,original,0.0109581947327,imput
276,SVR,original,0.00650596618652,imput
277,RFR,original,0.274900913239,imput
278,DTR,original,0.00874590873718,imput
279,SVR,original,0.00875377655029,imput
280,RFR,original,0.315323114395,imput
281,DTR,original,0.0082049369812,imput
282,DTR,original,0.00703001022339,imput
283,SVR,original,0.00581622123718,imput
284,RFR,original,0.285027980804,imput
285,DTR,original,0.00749897956848,imput
286,SVR,original,0.00479602813721,imput
287,RFR,original,0.306730985641,imput
288,DTR,original,0.0115208625793,imput
289,DTR,original,0.0071280002594,imput
290,SVR,original,0.00358319282532,imput
291,RFR,original,0.267333030701,imput
292,DTR,original,0.0088210105896,imput
293,SVR,original,0.00654315948486,imput
294,RFR,original,0.273468017578,imput
295,DTR,original,0.00720882415771,imput
296,DTR,original,0.0081090927124,imput
297,SVR,original,0.00542807579041,imput
298,RFR,original,0.262336969376,imput
299,DTR,original,0.00624394416809,imput
300,DTR,original,0.00863409042358,imput
301,DTR,original,0.00705981254578,imput
302,SVR,original,0.00536298751831,imput
303,RFR,original,0.308057069778,imput
304,DTR,original,0.0184500217438,imput
305,SVR,original,0.00709390640259,imput
306,RFR,original,0.29189491272,imput
307,DTR,original,0.0111920833588,imput
308,SVR,original,0.00636410713196,imput
309,RFR,original,0.276791810989,imput
