,Estimator,Time,Best Params
119,SVR,4.0609998703,"{'C': 10, 'gamma': 0.0001}"
120,RFR,13.3289999962,"{'n_estimators': 20, 'min_samples_split': 2, 'bootstrap': False, 'max_features': 'auto'}"
121,DTR,3.29800009727,"{'splitter': 'best', 'max_depth': 4}"
122,DTR,3.632999897,"{'splitter': 'random', 'max_depth': 9}"
123,DTR,3.90299987793,"{'splitter': 'random', 'max_depth': 10}"
124,DTR,3.28199982643,"{'splitter': 'best', 'max_depth': 5}"
125,SVR,4.59899997711,"{'C': 10, 'gamma': 'auto'}"
126,RFR,11.1440000534,"{'n_estimators': 20, 'min_samples_split': 4, 'bootstrap': False, 'max_features': 'log2'}"
127,DTR,3.48600006104,"{'splitter': 'best', 'max_depth': 7}"
128,DTR,3.35899996758,"{'splitter': 'best', 'max_depth': 6}"
129,SVR,4.92899990082,"{'C': 1000, 'gamma': 'auto'}"
130,RFR,13.364000082,"{'n_estimators': 40, 'min_samples_split': 2, 'bootstrap': False, 'max_features': 'sqrt'}"
131,DTR,3.47200012207,"{'splitter': 'best', 'max_depth': 8}"
132,DTR,3.88300013542,"{'splitter': 'random', 'max_depth': 4}"
133,SVR,4.39100003242,"{'C': 10, 'gamma': 'auto'}"
134,RFR,12.9179999828,"{'n_estimators': 40, 'min_samples_split': 8, 'bootstrap': False, 'max_features': 'sqrt'}"
135,DTR,3.40400004387,"{'splitter': 'random', 'max_depth': 9}"
136,DTR,3.51200008392,"{'splitter': 'random', 'max_depth': 9}"
137,SVR,4.60500001907,"{'C': 100, 'gamma': 0.001}"
138,DTR,3.97500014305,"{'splitter': 'best', 'max_depth': 10}"
139,SVR,4.49899983406,"{'C': 100, 'gamma': 0.0001}"
140,RFR,11.8130002022,"{'n_estimators': 10, 'min_samples_split': 4, 'bootstrap': False, 'max_features': 'sqrt'}"
141,DTR,3.59599995613,"{'splitter': 'random', 'max_depth': 3}"
142,SVR,4.29100012779,"{'C': 10, 'gamma': 'auto'}"
143,RFR,12.4689998627,"{'n_estimators': 30, 'min_samples_split': 2, 'bootstrap': True, 'max_features': 'auto'}"
144,DTR,3.84799981117,"{'splitter': 'random', 'max_depth': 8}"
145,SVR,4.52600002289,"{'C': 10, 'gamma': 0.001}"
146,RFR,12.9040000439,"{'n_estimators': 30, 'min_samples_split': 4, 'bootstrap': False, 'max_features': 'log2'}"
147,DTR,3.84499979019,"{'splitter': 'best', 'max_depth': 8}"
148,SVR,3.74400019646,"{'C': 10, 'gamma': 'auto'}"
149,RFR,11.7319998741,"{'n_estimators': 40, 'min_samples_split': 4, 'bootstrap': False, 'max_features': 'log2'}"
150,DTR,3.29499983788,"{'splitter': 'best', 'max_depth': 6}"
